years,singers,songs,lyrics
2018,iKON,사랑을 했다 (LOVE SCENARIO),사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 에이 괜찮지만은 않아 이별을 마주한다는 건 오늘이었던 우리의 어제에 더는 내일이 없다는 건 아프긴 해도 더 끌었음 상처가 덧나니까 Ye 널 사랑했고 사랑 받았으니 난 이걸로 됐어 나 살아가면서 가끔씩 떠오를 기억 그 안에 네가 있다면 그거면 충분해 사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 갈비뼈 사이사이가 찌릿찌릿한 느낌 나 사랑받고 있음을 알게 해주는 눈빛 너에게 참 많이도 배웠다 반쪽을 채웠다 과거로 두기엔 너무 소중한 사람이었다 나 살아가면서 가끔씩 떠오를 기억 그 안에 네가 있다면 그거면 충분해 사랑을 했다 우리가 만나 지우지 못할 추억이 됐다 볼만한 멜로드라마 괜찮은 결말 그거면 됐다 널 사랑했다 네가 벌써 그립지만 그리워하지 않으려 해 한 편의 영화 따스했던 봄으로 너를 기억할게 우리가 만든 LOVE SCENARIO 이젠 조명이 꺼지고 마지막 페이지를 넘기면 조용히 막을 내리죠 우린 아파도 해봤고 우습게 질투도 했어 미친 듯이 사랑했고우리 이 정도면 됐어사랑을 했다우리가 만나그거면 됐다널 사랑했다
2018,장덕철,그날처럼,참 많은 시간이 흘러가고넌 어떻게 사는지 참 궁금해날 걱정하는 사람들에게다 잊었단 거짓말하는 내가 참 미운 날아름다운 이별은 세상에 없다지만그때 내가 조금 더 너를 편하게 보내줬다면다른 사람 또 만나 행복할 니가 가끔은내 생각할 때에 지을 표정이 참 궁금해날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길찬란했던 우리 그날처럼비어있는 지갑에 음식점을 서성이면월급날이라며 손잡아 이끌어주던만 원짜리 커플링 고맙다며 펑펑 울던과분한 네 사랑 받을 사람 참 부러워날 보는 네 눈이 좋아서 얼굴 붉히며 딴청 피던 아름답던 그날처럼 좋은 사람 만나 사랑 받고 너도 이젠 웃을 수 있길찬란했던 우리 그날처럼문득 들려오는 너의 소식에가끔씩은 혼자 울 수 있길끝까지 이기적인 내가이젠 나 없이도 괜찮다 너에게 듣고 싶던 말좋은 사람 만나 미안해 다시 돌아갈 순 없지만아름답던 우리 그날
2018,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",네가 없이 웃을 수 있을까생각만 해도 눈물이나힘든 시간 날 지켜준 사람이제는 내가 그댈 지킬 테니너의 품은 항상 따뜻했어고단했던 나의 하루에유일한 휴식처나는 너 하나로 충분해긴 말 안 해도 눈빛으로 다 아니깐한 송이의 꽃이 피고 지는모든 날 모든 순간 함께해햇살처럼 빛나고 있었지나를 보는 네 눈빛은꿈이라고 해도 좋을 만큼그 모든 순간은 눈부셨다불안했던 나의 고된 삶에한줄기 빛처럼 다가와날 웃게 해준 너나는 너 하나로 충분해긴 말 안 해도 눈빛으로 다 아니깐한 송이의 꽃이 피고 지는모든 날 모든 순간 함께해알 수 없는 미래지만네 품속에 있는 지금 순간 순간이영원 했으면 해갈게 바람이 좋은 날에햇살 눈부신 어떤 날에 너에게로처음 내게 왔던 그날처럼모든 날 모든 순간 함께해
2018,닐로(Nilo),지나오다,이별을 말하고 넌 괜찮은 거니여전히 내 하루는 온통 네 생각에뜬 눈으로 밤을 지새고난 두려워 시간이 쌓여갈수록내가 잊혀질까 봐 우리 시간마저모두 무너질까 봐나도 모르게 너무 보고 싶어서네 집 앞을 찾아가너도 나만큼은 아닐지라도보고 싶었다고말해줘 지금 나 너의 집 앞에 있어우리의 시간을 되돌려줘아무 일도 없던 것처럼 날 안아줘끝이라는 게 난 너무나 두려워서다가가지도 못하고한참 서성이다 말도 못하고다시 돌아가는 나하루가 가고 또 하루가 지나도갈수록 커져만 가맘에 없는 거짓말이라도날 사랑한다고말해줘 지금 나 너의 집 앞에 있어우리의 시간을 되돌려줘아무 일도 없던 것처럼 날 안아줘끝이라는 게 난 너무나 두려워서다가가지도 못하고한참 서성이면 우리 한 번은단 한 번쯤은 마주치진 않을까당장이라도 전활 걸어네 목소리 듣고 싶은데내가 더 싫어지게 될까 봐작은 감정마저 그렇게 사라질까 봐마음이란 게 말처럼 되질 않잖아보다 조금만 널 사랑했더라면스치는 바람처럼 스쳐 지나갈 텐데끝이라는 게 난 너무나 두려워서다가가지도 못하고한참 서성이다 혹시 마주치게 된다면나처럼 아픈 시간 속에 살았기를오늘도 난 돌아서지만
2018,모모랜드 (MOMOLAND),뿜뿜,설레어 너와 나의 랑데뷰 랑데뷰내 마음을 들었다 놨다 해 맘대루 맘대루지금 내 눈엔 눈엔 눈엔네 어깨 무릎 발 Oh숨이 탁 막힐 것 같아 난 너만 보면wow wow 정신을 또 놔 놔 네 매력에난 난 놀라게 돼 또 Hit it Hit it Hit it HO우우우 무슨 말이 필요해 넌 숨이 콱 막힐 것 같아 넌 자꾸만 봐 자꾸 와 이제 나만 보게 될 거야 너를 들었다 놓을 거야넌 점점 더 Fall in loveGive it to you My 눈눈눈눈눈눈 눈빛쏟아지는 My 터터터터터터 터치하나뿐인 My 럽럽럽럽럽 My Luver내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어Just feel it 뿜뿜네 앞에서 난 뿜뿜 네게 줄게 뿜뿜 뿜뿜 어지금 보고 있는 게 꿈은 아닐 걸 Wake Up Wake Up 땡땡이치고 날 만나게 될 걸 Take off Take off매력을 야 뿜어뿜어뿜어뿜어 보여줄게 Pic up the phoneNow or Never Pick up Pick upwow wow 정신없이 쿵 쿵 내 마음을 뿜 뿜 사정없이 또 Hit it Hit it Hit it HO우우우 여기서 뭘 어떻게 더낮이나 밤이나 빛이나 미쳤나봐떨리지 막 떨려와 이제 나만 생각 날 거야 밤에 잠도 잘 못 잘 거야 점점 더 Fall in loveGive it to you My 눈눈눈눈눈눈 눈빛쏟아지는 My 터터터터터터 터치하나뿐인 My 럽럽럽럽럽 My Luver내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어우 너만 보면 너만 보면 내 가슴이 뿜뿜뿜뿜뿜뿜뿜뿜 뿜우 자꾸 봐도 자꾸 봐도 내 가슴이 쿵쿵쿵쿵뿜뿜뿜뿜Give it to you My 눈눈눈눈눈눈 눈빛쏟아지는 My 터터터터터터 터치하나뿐인 My 럽럽럽럽럽 My Luver내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어Just feel it 뿜뿜네 앞에서 난 뿜뿜 네게 줄게 뿜뿜 뿜뿜 어
2018,BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU),착한 얼굴에 그렇지 못한 태도가녀린 몸매 속가려진 volume은 두 배로거침없이 직진굳이 보진 않지 눈치Black 하면 Pink우린 예쁘장한 Savage원할 땐 대놓고 뺏지넌 뭘 해도 칼로 물 베기두 손엔 가득한 fat check궁금하면 해봐 fact check눈 높인 꼭대기물 만난 물고기좀 독해 난 ToxicYou 혹해 I`m Foxy두 번 생각해흔한 남들처럼 착한 척은 못 하니까착각하지 마쉽게 웃어주는 건 날 위한 거야아직은 잘 모르겠지굳이 원하면 test me넌 불 보듯이 뻔해만만한 걸 원했다면Oh wait til’ I do what I doHit you with thatddu-du ddu-du duHit you with thatddu-du ddu-du du지금 내가 걸어가는 거린BLACKPINK 4 way 사거리동서남북 사방으로 run it너네 버킷리스트싹 다 I bought it널 당기는 것도 멀리 밀치는 것도제멋대로 하는 bad girl좋건 싫어하건 누가 뭐라 하던When the bass dropit’s another banger두 번 생각해흔한 남들처럼 착한 척은 못 하니까착각하지 마쉽게 웃어주는 건 날 위한 거야아직은 잘 모르겠지굳이 원하면 test me넌 불 보듯이 뻔해만만한 걸 원했다면Oh wait til’ I do what I doHit you with that ddu-du ddu-du duHit you with that ddu-du ddu-du duWhat you gonna dowhen I come come throughwith that that uh uh huhWhat you gonna dowhen I come come throughwith that that uh uh huh뜨거워 뜨거워 뜨거워 like fire뜨거워 뜨거워 뜨거워 like fire뜨거워 뜨거워 뜨거워 like fire뜨거워 뜨거워 뜨거워 like fireHit you with that ddu-du ddu-du du
2018,멜로망스,선물,빛이 들어오면 자연스레 뜨던 눈그렇게 너의 눈빛을 보곤사랑에 눈을 떴어항상 알고 있던 것들도 어딘가새롭게 바뀐 것 같아남의 얘기 같던 설레는 일들이내게 일어나고 있어나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간별생각 없이 지나치던 것들이이제는 마냥 내겐 예뻐 보이고내 맘을 설레게 해항상 어두웠던 것들도 어딘가빛나고 있는 것 같아남의 얘기 같던 설레는 일들이내게 일어나고 있어나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간너를 알게 된 뒤 보이는모든 것들이 너무 예뻐 보여그렇게 신난 아이처럼순수한 사람이 된 것 같아나에게만 준비된 선물 같아자그마한 모든 게 커져만 가항상 평범했던 일상도특별해지는 이 순간깊은 사랑에 빠진 순간
2018,숀 (SHAUN),Way Back Home,멈춘 시간 속잠든 너를 찾아가아무리 막아도결국 너의 곁인 걸길고 긴 여행을 끝내이젠 돌아가너라는 집으로지금 다시way back home아무리 힘껏 닫아도다시 열린 서랍 같아하늘로 높이 날린 넌자꾸 내게 되돌아와힘들게 삼킨 이별도다 그대로인 걸oh oh oh수없이 떠난 길 위에서난 너를 발견하고비우려 했던 맘은 또이렇게 너로 차올라발걸음의 끝에늘 니가 부딪혀그만그만멈춘 시간 속잠든 너를 찾아가아무리 막아도결국 너의 곁인 걸길고 긴 여행을 끝내이젠 돌아가너라는 집으로지금 다시way back home조용히 잠든 방을 열어기억을 꺼내 들어부서진 시간 위에서선명히 너는 떠올라길 잃은 맘 속에널 가둔 채 살아그만그만멈춘 시간 속잠든 너를 찾아가아무리 막아도결국 너의 곁인 걸길고 긴 여행을 끝내이젠 돌아가너라는 집으로지금 다시way back home세상을 뒤집어찾으려 해오직 너로 완결된이야기를모든 걸 잃어도난 너 하나면 돼빛이 다 꺼진 여기나를 안아줘눈을 감으면소리 없이 밀려와이 마음 그 위로넌 또 한 겹 쌓여가내겐 그 누구도 아닌니가 필요해돌아와 내 곁에그날까지I’m not done
2018,로이킴,그때 헤어지면 돼,나를 사랑하는 법은 어렵지 않아요지금 모습 그대로 나를 꼭 안아주세요우리 나중에는 어떻게 될진 몰라도정해지지 않아서 그게 나는 좋아요 남들이 뭐라는 게 뭐가 중요해요서로가 없음 죽겠는데 뭐를 고민해요우리 함께 더 사랑해도 되잖아요네가 다른 사람이 좋아지면 내가 너 없는 게 익숙해지면 그때가 오면 그때가 되면 그때 헤어지면 돼너를 사랑하는 법도 어렵지 않아요 한 번 더 웃어주고 조금 더 아껴주면우리 사랑하는 법도 어렵지 않아요매일 처음 만난 눈빛으로 서로를 바라봐 주면남들이 뭐라는 게 뭐가 중요해요서로가 없음 죽겠는데 뭐를 고민해요우리 함께 더 사랑해도 되잖아요네가 다른 사람이 좋아지면 내가 너 없는 게 익숙해지면 그때가 오면 그때가 되면 그때 그때 그때 네가 원하든 말든 널 잡을 거고 내가 더 이상 지쳐 걷지 못할 때 그때가 오면 그때가 되면그때 헤어지면 돼 그때 헤어지면 돼
2018,볼빨간사춘기,여행,저 오늘 떠나요 공항으로핸드폰 꺼 놔요제발 날 찾진 말아줘시끄럽게 소리를 질러도어쩔 수 없어 나가볍게 손을 흔들며 bye bye쉬지 않고 빛났던 꿈같은my youth이리저리 치이고 또 망가질 때쯤지쳤어 나 미쳤어나 떠날 거야 다 비켜I fly awayTake me to LondonParis New York city들아름다운 이 도시에 빠져서 나Like I'm a bird bird날아다니는 새처럼난 자유롭게 fly fly나 숨을 셔Take me to new world anywhere어디든답답한 이 곳을 벗어 나기만 하면Shining light light빛나는 my youth자유롭게 fly fly나 숨을 셔저 이제 쉬어요 떠날 거예요 노트북 꺼 놔요제발 날 잡진 말아줘시끄럽게 소리를 질러도어쩔 수 없어 나가볍게 손을 흔들며 see ya쉬지 않고 빛났던 꿈같은my youth이리 저리 치이고 또 망가질 때쯤지쳤어 나 미쳤어나 떠날 거야 다 비켜I fly awayTake me to London ParisNew York city들아름다운 이 도시에 빠져서 나Like I'm a bird bird날아 다니는 새처럼난 자유롭게 fly fly나 숨을 셔Take me to new world anywhere어디든답답한 이 곳을 벗어 나기만 하면Shining light light빛나는 my youth자유롭게 fly fly나 숨을 셔I can fly awayFly always always alwaysTake me to new world anywhere어디든답답한 이 곳을 벗어 나기만 하면Shining light light빛나는 my youth자유롭게 fly fly나 숨을 셔
