years,singers,songs,lyrics
1964,금호동,내일또 만납시다,하루의 일을 끝내고 돌아가는거리엔 사람의 물결하늘엔 별이 하나 둘 반짝이면가로등 하나 둘 꽃 피네허공을 스치는 바람은 차고흐뭇한 마음은 애드베룬가벼운 발길 헤어질 때 인사는내일 또 다시 만납시다하루의 일을 끝내고 돌아가는거리엔 사람의 물결하늘엔 별이 하나 둘 반짝이면가로등 하나 둘 꽃 피네허공을 스치는 바람은 차고흐뭇한 마음은 애드베룬가벼운 발길 헤어질 때 인사는내일 또 다시 만납시다내일 또 다시 만납시다
1964,최숙자,눈물의 연평도,조기를 담뿍잡아기폭을 올리고온다던 그배는어이하여 아니오나수평선 바라보며그이름 부르면갈매기도 우는구나눈물의 연평도태풍이 원수더라한많은 사라호황천간 그얼굴언제다시 만나보리해저문 백사장에그모습 그리면등대불만 깜박이네눈물의 연평도
1964,이미자,님이라 부르리까,<1절 임이라 부르리까 당신이라고 부르리까 사랑을 하면서도 사랑을 참고사는 마음으로만 그리워 마음으로만 사무쳐 애타는 가슴 그무슨 잘못이라도 있는 것 처럼 울어야만 됩니까 울어야만 됩니까 <2절 임이라 부르리까 당신이라고 부르리까 밤이면 꿈에선가 다정이 만나보고 잊지못하고 언제나 가슴속에만 간직한 못난이 마음 그무슨 잘못이라도 있는 것처럼 울어야만 됩니까 울어야만 됩니까
1964,이미자,동백아가씨,헤일 수 없이 수많은 밤을내 가슴 도려내는 아픔에 겨워얼마나 울었던가 동백아가씨그리움에 지쳐서울다 지쳐서꽃잎은 빨갛게 멍이 들었오동백꽃 잎에 새겨진 사연말 못할 그 사연을가슴에 안고오늘도 기다리는 동백아가씨가신님은 그 언제그 어느날에외로운 동백꽃찾아 오려나
1964,현미,떠날때는 말없이,그 날 밤 그 자리에둘이서 만났을 때똑같은 그 순간에똑같은 마음이달빛에 젖은 채밤새도록 즐거웠죠아 그 밤이 꿈이었나 비 오는데두고두고 못 다한 말가슴에 새기면서떠날 때는 말 없이말 없이 가오리다아무리 불러도그 자리는 비어있네아 그 날이 언제였나 비 오는데사무치는 그리움을나 어이 달래라고떠날 때는 말 없이말 없이 가오이다
1964,백야성,마도로스 부기,항구의 일~~번지 부기우기 일~번지그라스를 채워~다오 부기우기 아~~가씨고동이 슬피울면 이별~이란~~다저 달이 지기~전에 이슬~~이 깨기전에부기우기 부기우기 마도로스 부기~~우~기항구의 일~~번지 부기우기 일~번지인~심을 쓰려~므나 부기우기 아~~가씨왔다가 가야하는 마도~로스~~다저 달이 지기~전에 정열~~이 식기전에부기우기  부기우기 마도로스 부기~~우~기
1964,최희준,맨발의 청춘,눈물도 한숨도나 혼자 씹어 삼키며밤 거리의 뒷골목을누비고 다녀도사랑만은 단 하나의목숨을 걸었다거리의 자식이라욕하지 말라그대를 태양처럼우러러 보는사나이 이 가슴을알아줄 날 있으리라외롭고 슬프면 하늘만 바라보면서맨발로 걸어왔네 사나이 험한길을상처뿐인 이 가슴에 나홀로 달랬네내버린 자식이라 비웃지 말라내 생전 처음으로 바친 순정은머나먼 천국에서 그대 옆에 피어나리그대 옆에 피어나리
1964,권혜경,물새우는 해변,고요한 밤하늘에 별이 잠들고밀리는 파도소리 나혼자 들으며외로히 홀로 날으는 물새의 울음소리쓸쓸한 내 마음 속에 슬픔을 주네 고요한 밤하늘에 별이 잠들고  밀리는 파도소리 나혼자 들으며외로히 홀로 날으는 물새의 울음소리쓸쓸한 내 마음 속에 슬픔을 주네
1964,박재란,밀짚모자 목장아가씨,시원한 밀짚모자포플라 그늘에양떼를 몰고가는목장의 아가씨연분홍 빛 입술에는살며시 웃음 띄우고넓다란 푸른 목장하늘에 구름가네라라라 라라라라라라라라라 라라라라라라라 라라라라라라라라라 라라라라연분홍 빛 입술에는살며시 웃음 띄우고넓다란 푸른 목장하늘에 구름가네구름가네 음음음음
1964,현미,보고싶은 얼굴,눈을 감고 걸어도눈을 뜨고 걸어도보이는 것은 초라한 모습보고 싶은 얼굴거리마다 물결이 거리마다 발길이휩쓸고 지나간 허황한 거리에눈을 감고 걸어도눈을 뜨고 걸어도보이는 것은 초라한 모습보고 싶은 얼굴거리마다 물결이 거리마다 발길이휩쓸고 지나간 허황한 거리에눈을 감고 걸어도눈을 뜨고 걸어도보이는 것은 초라한 모습보고 싶은 얼굴
