years,singers,songs,lyrics
1999,유승준,Shut Up!! (Feat. 이윤정),어디서 뭘 했는데또 누굴 만난건데도대체 연락 안돼뭘하고 다니는건데안 그랬는데옛날엔 진짜 안그랬어그렇게 피할꺼면꺼져버려아무 거침없이 쏟아붓는너의 잔소리그것의 시작이내가 뭘 잘못했니뭘 생각하니뭘 그리 네맘에 안드니내말을 들어봐날 쳐다봐네 진심을 내게 불어봐네가 날 이해해봐도내게 남는 것은하나도 없다고 봐몇번을 말해야알아듣겠니왜 이래야만 하는거야한바탕 너의 잔소리듣고 난 후면내 인내심도 끝인거야지금 너 내게 보이는끈질긴 집착내 지난 이별 이유라고그토록 알아듣도록얘기했지만왜 똑같아져 가는거야그래서 한때는하루종일을꼭 붙어 다녔었고다시는 잔소리없을 거라고너와 나 약속했어아무말 필요 없었잖아그냥 눈빛하나면충분했잖아우리의 행복 기억하니정말 행복했었잖아그때는 그랬는데정말 좋았었는데너무나 행복해서우하하하하지만 조금씩 변해가는너를 느껴나몰래 쌓여가는너의비밀 참을수 없어내게 비밀은 없어후한이 두려워비밀을 가질순 없어너와 함께한 시간아름다워그날들을 잊을순 없어사랑에 행복에 시간에우정에 눈물까지 사랑해네게 더 큰사랑을주고싶은 욕심에난 더 조금씩다가서기에몇번을 물어도너를 사랑해내맘은 항상 너의곁에모자란 나를 언제나채워주던 너얼마나 내겐 소중한데안개에 가려보이지 않던 내길을넌 빛이되어 밝혀줬고세상이 나를 속이고실망시킬 때넌 끝까지 날 지켜줬어아무리 지쳐도 포기않는희망이 뭔지 아니내가 꼭 있어야 되는한사람바로 너 때문이야아무말 필요 없었잖아그냥 눈빛하나면충분했잖아우리의 행복 기억하니정말 행복했었잖아멋대로 살꺼면은혼자살아내맘을 몰라줄꺼면딴 여자를 찾아니 멋대로 살아보던지하지만 기다릴게계속 기다릴꺼야니가 이런 내맘을알아줄때까지
1999,듀스,여름안에서,언제나 꿈꿔 온 순간이 여기 지금 내게 시작되고 있어그렇게 너를 사랑했던 내 마음을 넌 받아 주었어오 내 기분만큼 밝은 태양과시원한 바람들이 내게 다가와나는 이렇게 행복을 느껴하늘은 우릴 향해 열려 있어  그리고 내 곁에는 네가 있어환한 미소와 함께 서 있는그래 너는 푸른 바다야같은 시간 속에 이렇게 함께 있는 것만으로도 난 좋아행복한 미소에 네 얼굴 나 더이상 무얼 바라겠니저 파란 하늘 아래서 너와 나 여기 이렇게 사랑하고 있어나는 이렇게 오 행복을 느껴하늘은 우릴 향해 열려 있어  그리고 내 곁에는 네가 있어환한 미소와 함께 서 있는그래 너는 푸른 바다야더이상 슬픔은 없는 거야지금 행복한 너와 나태양 아래 우린 서로가사랑하는걸 알아하늘은 우릴 향해 열려 있어  그리고 내 곁에는 니가 있어환한 미소와 함께 서 있는그래 너는 푸른 바다야하늘은 우릴 향해 열려 있어  그리고 내 곁에는 네가 있어환한 미소와 함께 서 있는그래 너는 푸른 바다야너는 푸른 바다야난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해난 너를 사랑해 난 너를 사랑해너는 푸른 바다야 원 투 쓰리 포
1999,김경호,비정(非情),손가락 하나 내 뜻대로움직이지도 못할 만큼취해버린 채로 눈을 감을때눈을 감는 그 순간에도나를 스쳐 지나가는 건나의 안불 물어오는나를 떠나버린 너였어어떻게 살아가는지 왜 궁금해내가 무슨 말을 해주길 바래가끔씩 생각 없는 말투로내게 묻지 않았으면해항상 넌 그냥 이라고 하지언제나 같은 대답 뿐인걸어떻게 내가 받아 들여야만해우리가 왜 이런 말을 해야해어차피 지금 너의 마음속에내가 남아 있지 않다면나를 위한 걱정 따윈 하지마다시 돌아 올 수 없다면내가 널 지워 버릴 수 있게나를 이대로 내버려 둬어차피 나에게 올 수 없는거라면
1999,엄정화,몰라,어떻게 말해야 할까다른 사람이 생겼다고언제나 나만을 위해나를 아껴준 그대에게충격이 클 거야내게 실망을 하며배신감도 느끼겠지하지만 내 맘이 이미 변해버린 건나도 잘 몰라내가 왜 이러는지 몰라알 수가 없어그렇게 나를 사랑해줬는데왜 내가 흔들리는지그대가 싫어진 것도 아닌데정말 난 몰라알 수가 없어도대체 사랑이 어떤 거길래나만을 아껴주었던그대를 왜 내가 떠나는 건지나도 모르겠어너무도 할 말이 없어그저 날 미워하라 했지어쩌면 나 같은 여자빨리 잊는 게 나을 거라며하지만 그대는 나의 손을 잡으며행복하라고 말했지부족한 자신을 이해해달라면서매력이 없는 자신의 탓이라며몰라 알 수가 없어그렇게 나를 사랑해줬는데왜 내가 흔들리는지그대가 싫어진 것도 아닌데정말 난 몰라 알 수가 없어도대체 사랑이 어떤 거길래나만을 아껴주었던 그대를왜 내가 떠나는 건지나도 모르겠어정말 난 몰라 알 수가 없어그렇게 나를 사랑해줬는데왜 내가 흔들리는지그대가 싫어진것도 아닌데정말 난 몰라알 수가 없어도대체 사랑이 어떤 거길래나만을 아껴주었던그대를 왜 내가 떠나는건지나도 모르겠어
1999,윤종신,배웅,머나먼 길 떠나는 사람처럼 마치 배웅 나온것처럼 다시 돌아올 것 같은 그대 사라질때 까지 보네 한번만 더 안아보고 싶었지 내 가슴이 익숙한 그대 안녕이라 하지않은 이유 그댄 알고있나요 아무것도 바꾸지 않겠어요 모든것을 지금 그대로 갑자기 그대 돌아온대도 전혀 낯설지 않도록 언제 어디라도 내겐 좋아요 혹시 나를 찾아준다면 내가 지쳐 변하지않기를 내 자신에게 부탁해 이렇게해야 견딜수있을거야 영영 떠나갔다 믿으면 내가 포기해야 하는 남은 날들이 너무 막막해 아무것도 바꾸지 않겠어요 모든것을 지금 그대로 갑자기 그대 돌아온대도 전혀 낯설지 않도록 언제 어디라도 내겐 좋아요 혹시 나를 찾아준다면 내가 지쳐 변하지않기를 내 자신에게 부탁해 아무도 날 말리지않을거예요 잊지 못할걸 알기에 그냥 기다리며 살아가도록 내 내 꿈꾸듯살도록 그대 혹시 다른사람 만나면 내가 알수없게해주길 그대 행복 빌어주는 나의 처량한 모습 두려워
1999,임재범,사랑보다 깊은 상처,오랫동안 기다려 왔어내가 원한 너였기에슬픔을 감추며 널 보내줬었지날 속여 가면서잡고 싶었는지 몰라너의 눈물 속의 내 모습아직까지 남아있어추억을 버리긴 너무나 아쉬워난 너를 기억해 이젠 말할게 내 오랜 기다림너 떠나고 너의 미소 볼수 없지만항상 기억할게 너의 그모든걸사랑 보다 깊은 상처만 준 난이젠 깨달았어후회하고 있다는 걸이젠 모두 떠나갔지만나에게 넌 남아있어추억을 감춘채 넌 울고 있었어난 이젠 너에게아무런 말도 할 수 없어그런 넌 용서할지 몰라부족했던 내모습을넌 나를 지키며 항상 위로했었지난 그런 너에게이젠 이렇게 아픔만 남겼어너 떠나고 너의 미소 볼수 없지만항상 기억할게 너의 그 모든 걸사랑 보다 깊은 상처만 준 난이젠 깨달았어후회하고 있다는걸나는 상상했었지나의 곁에 있는 널이젠 모든 나의 꿈들을너에게 줄게너 떠나고 너의 미소 볼수 없지만항상 기억할게 너의 그 모든걸사랑보다 깊은 상처만 준 난이젠 깨달았어 후회하고 있다는걸
1999,김민종,비원(悲願),뭐가 그리 힘드니 내가 너를 힘들게 하니 그럼 편안히 내곁을 떠나 이해 할 수 없지만  대신 부탁이 있어 부디 행복한 모습으로 나와 마주칠 수 있게 살아야돼 내가 이해하도록 미안하다 생각하지 말아줘 참고있는 나에게 그저 미소만 보이면 돼 안된다고 소리치고 싶지만 소용없는걸  난 알기에 널 보내는거야 더 이상 내가 다가갈수 없게 행복한 모습을 보여줘  널 포기하도록 자신이 없다면 나에게 돌아와도 돼  지금도 널 위해 나는 살아가고 있으니 힘들지만 기다릴게 편히 지내왔었던 지난 시간을 기억하며 난 울것 같아 너를 이해 할 수 없기에  난 너를 잊을 자신 없기에 안된다고 소리치고 싶지만 소용없는 걸 난 알기에 널 보내는거야 더 이상 내가 다가갈수 없게 행복한 모습을 보여줘  널 포기하도록 자신이 없다면 나에게 돌아와도 돼  지금도 널 위해 나는 살아가고 있으니 힘들지만 기다릴게 편히 지내왔었던 지난 시간을 기억하며 편히 지내왔었던지난 시간을 기억하며
1999,박기영,마지막 사랑,몰랐었어 너의 그바램들을모두 이해한다 믿고만 싶었던거야너무 힘들다고 말하는 널 보며잠시 헤어지자고 말을 했던 나였어미안했어 나의 이기심들에상처입어가는 널 보지 못했던거야마지막이라고 믿었던 사랑을바보처럼 보내고사진속에 웃고 있는 너를봐어디 있니 넌 지금 점점 바래져가는니 모습 그려보고 있어단한번이라도 내 모습 떠올라긴 한숨짓고 있다면 다시 돌아와너를 위해 비워둔 내 맘속 그곳에마지막 사랑이라 믿는 내게로미안했어 나의 이기심들에상처입어가는 널 보지 못했던거야마지막이라고 믿었던 사랑을바보처럼 보내고사진속에 웃고 있는 너를봐어디있니 넌 지금 점점 바래져가는니 모습 그려보고 있어단한번이라도 내 모습 떠올라긴 한숨 짓고 있다면 다시 돌아와너를 위해 비워둔 내 맘속 그곳에영원히 나를 지켜줘단한번이라도 내 모습 떠올라긴 한숨짓고 있다면 다시 돌아와너를 위해 비워둔 내 맘속 그곳에마지막 사랑이라 믿는 내게로
1999,김현철,연애,정말 유치한것 같아내가 하는 모든 얘기가 산다는게 원래 그런거 라지만 저 푸른 초원위에그림같은 집을 짓고서님과 함께 살고 싶은 기분이야 누굴 좋아한다는데 이유가그런 이유가 어딨겠어 그저 어느 누가 맘에 들면그냥 맘에 드는 거지 나는 날아 날아 올라그대와 함께 있을때면Alright 연애하는 기분이라나는 날아 날아 올라그대와 함께 있을때면Alright 정말 좋은것 같아 사람일이란 것을 이 세상어느 누가 알겠어 그 누구도 알수 없는 일이겠지우리가 이 다음에어떻게 될지 모르지만 나는 다시 태어난 듯한 느낌야 누굴 좋아한다는데 이유가그런 이유가 어딨겠어 그저 어느 누가 맘에 들면그냥 맘에 드는 거지 나는 날아 날아 올라그대와 함께 있을때면 Alright 연애하는 기분이라나는 날아 날아 올라그대와 함께 있을때면 Alright 정말 좋은것 같아 누굴 좋아한다는데 이유가그런 이유가 어딨겠어그저 어느 누가 맘에 들면그냥 맘에 드는 거지나는 날아 날아 올라그대와 함께 있을때면 Alright 연애하는 기분이라나는 날아 날아 올라그대와 함께 있을때면Alright 정말 좋은 것 같아
1999,조성모,To Heaven (천국으로 보낸 편지),괜찮은거니 어떻게 지내는거야나 없다고또 울고 그러진 않니매일 꿈속에 찾아와재잘대던 너요즘은 왜 보이질 않는거니혹시 무슨 일이라도 생겼니내게 올 수 없을 만큼더 멀리갔니니가 없이도 나 잘 지내 보여괜히 너 심술나서 장난 친거지비라도 내리면구름 뒤에 숨어서니가 울고 있는 건 아닌지걱정만 하는 내게제발 이러지마볼 수 없다고쉽게 널 잊을 수 있는내가 아닌걸 잘 알잖아혹시 니가 없어 힘이 들까봐니가 아닌 다른 사랑만날 수 있게너의 자릴 비워둔 것이라면그 자린 절망 밖에채울 수 없어미안해 하지마멀리 떠나갔어도예전처럼 니 모습 그대로내 안에 가득한데그리 오래 걸리진 않을거야이별이 없는 그곳에우리 다시 만날 그날이그때까지 조금만날 기다려 줘
